ciss_product_id,wake_sku,wake_variant_id,unit,unit_raw,ciss_price,ciss_stock,ciss_enterprise,ciss_location,package_weight_kg,expected_retail_price,expected_wholesale_price,wake_current_price,price_match,expected_stock,wake_current_stock,stock_match,price_table_expected,price_table_actual,price_table_match,wake_variant_id_actual,wake_preco_de,price_table_preco_de_actual,status,error
1563,1563,280340,,CT,415.78,-0.94,2,2,,,,4.99,,,0,,,4.99,,280340,0,6.49,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
270,270,278137,PC,PC,2.07,1894,2,2,,2.07,,0.02,false,1894,18940,false,2.07,0.02,false,278137,0,0.03,PRICE_AND_STOCK_MISMATCH,
2732,2732,281115,,CT,5.32,113.81,2,2,,,,0.06,,,1138,,,0.06,,281115,0,0.08,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2733,2733,281116,,CT,3,86.37,2,2,,,,0.04,,,863,,,0.04,,281116,0,0.05,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2734,2734,281117,,CT,6.21,16.4,2,2,,,,0.07,,,164,,,0.07,,281117,0,0.09,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2735,2735,281118,,CT,5.36,138.65,2,2,,,,0.06,,,1386,,,0.06,,281118,0,0.08,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2736,2736,281119,,CT,3.63,60.25,2,2,,,,0.04,,,602,,,0.04,,281119,0,0.05,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2737,2737,281120,,CT,6.26,178.71,2,2,,,,0.08,,,1787,,,0.08,,281120,0,0.1,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2739,2739,281121,,CT,4.54,3.86,2,2,,,,0.05,,,38,,,0.05,,281121,0,0.07,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2740,2740,281122,,CT,8.81,64.36,2,2,,,,0.11,,,643,,,0.11,,281122,0,0.14,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2741,2741,281123,,CT,6.14,68.6,2,2,,,,0.07,,,686,,,0.07,,281123,0,0.09,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2744,2744,281124,,CT,6.72,35,2,2,,,,0.08,,,350,,,0.08,,281124,0,0.1,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
2745,2745,281125,,CT,6.42,142.77,2,2,,,,0.08,,,1427,,,0.08,,281125,0,0.1,UNSUPPORTED_UNIT,"unit nao suportada: ""CT"""
