2026-09-11T13:22:29.300Z [env] 6 variaveis carregadas de .env (valores nao exibidos)
2026-09-11T13:22:29.300Z [db] lendo em modo somente-leitura: /opt/erp-wake/data/app.db
2026-09-11T13:22:29.322Z [db] 2318 produtos ativos; CD=25 tabela=74 promocao=10365 CISS empresa=2 local=2
2026-09-11T13:22:29.322Z [db] intervalo produtoVarianteId da whitelist: 278078..283202
2026-09-11T13:22:29.323Z [auth] token Wake: env; token CISS: db (valores nunca exibidos)
2026-09-11T13:22:29.326Z [wake] GET /produtos CD=25 intervalo 278078..283202
2026-09-11T13:22:30.394Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278077 -> 200 (rate-limit restante=119)
2026-09-11T13:22:31.576Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278127 -> 200 (rate-limit restante=118)
2026-09-11T13:22:33.629Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278177 -> 200 (rate-limit restante=117)
2026-09-11T13:22:35.541Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278227 -> 200 (rate-limit restante=116)
2026-09-11T13:22:37.537Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278278 -> 200 (rate-limit restante=115)
2026-09-11T13:22:39.558Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278330 -> 200 (rate-limit restante=114)
2026-09-11T13:22:41.569Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278380 -> 200 (rate-limit restante=113)
2026-09-11T13:22:43.562Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278430 -> 200 (rate-limit restante=112)
2026-09-11T13:22:45.698Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278480 -> 200 (rate-limit restante=111)
2026-09-11T13:22:47.564Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278530 -> 200 (rate-limit restante=110)
2026-09-11T13:22:49.549Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278580 -> 200 (rate-limit restante=109)
2026-09-11T13:22:51.546Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278630 -> 200 (rate-limit restante=108)
2026-09-11T13:22:53.549Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278680 -> 200 (rate-limit restante=107)
2026-09-11T13:22:55.644Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278730 -> 200 (rate-limit restante=106)
2026-09-11T13:22:57.549Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278789 -> 200 (rate-limit restante=105)
2026-09-11T13:22:59.553Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278839 -> 200 (rate-limit restante=104)
2026-09-11T13:23:01.580Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278889 -> 200 (rate-limit restante=103)
2026-09-11T13:23:03.557Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278939 -> 200 (rate-limit restante=102)
2026-09-11T13:23:05.556Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=278989 -> 200 (rate-limit restante=101)
2026-09-11T13:23:07.557Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279039 -> 200 (rate-limit restante=100)
2026-09-11T13:23:09.561Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279090 -> 200 (rate-limit restante=99)
2026-09-11T13:23:11.582Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279141 -> 200 (rate-limit restante=98)
2026-09-11T13:23:13.563Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279191 -> 200 (rate-limit restante=97)
2026-09-11T13:23:15.570Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279244 -> 200 (rate-limit restante=96)
2026-09-11T13:23:17.558Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279296 -> 200 (rate-limit restante=95)
2026-09-11T13:23:19.591Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279356 -> 200 (rate-limit restante=94)
2026-09-11T13:23:21.573Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279410 -> 200 (rate-limit restante=93)
2026-09-11T13:23:23.587Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279460 -> 200 (rate-limit restante=92)
2026-09-11T13:23:25.570Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279510 -> 200 (rate-limit restante=91)
2026-09-11T13:23:27.572Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279560 -> 200 (rate-limit restante=90)
2026-09-11T13:23:29.580Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279610 -> 200 (rate-limit restante=89)
2026-09-11T13:23:31.577Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279660 -> 200 (rate-limit restante=119)
2026-09-11T13:23:33.590Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279710 -> 200 (rate-limit restante=118)
